country,year,Fd1y,B1_R_B,B2_R_B,B3_R_B,B4_R_B,B6_R_B,B7_R_B,B8_R_B,L0g0y
124,1933,0.10098664,0,0,0,0,0,0,0,-0.074040204
124,1934,0.077532634,0,0,0,0,1,0,0,0.10098664
124,1935,0.05256233,0,0,0,1,0,0,0,0.077532634
124,1950,0.055181209,0,0,0,0,0,0,0,0.071165562
124,1951,0.070242032,0,0,0,1,0,0,0,0.055181209
124,1952,0.045670953,0,0,0,0,0,0,0,0.070242032
124,1953,-0.006936595,0,0,0,0,1,0,0,0.045670953
124,1954,0.089281186,0,0,0,0,1,0,0,-0.006936595
124,1955,0.077793129,0,0,0,0,0,0,0,0.089281186
124,1956,0.028544927,0,0,0,0,0,0,0,0.077793129
124,1957,0.017730923,0,0,1,0,0,0,0,0.028544927
124,1958,0.039737862,0,0,0,0,0,1,0,0.017730923
124,1959,0.030599004,0,0,0,0,0,0,0,0.039737862
124,1960,0.031632915,0,0,0,0,0,0,0,0.030599004
124,1961,0.071167797,0,0,0,0,1,0,0,0.031632915
124,1962,0.05181776,0,0,0,1,0,0,0,0.071167797
124,1963,0.06699457,0,0,0,1,0,0,0,0.05181776
124,1964,0.066365451,0,0,0,0,0,0,0,0.06699457
124,1965,0.065849654,0,0,0,1,0,0,0,0.066365451
124,1966,0.029153103,0,0,0,1,0,0,0,0.065849654
124,1967,0.052953418,0,0,0,0,0,0,0,0.029153103
124,1968,0.052600008,0,0,0,0,0,0,1,0.052953418
124,1969,0.032556135,0,0,0,1,0,0,0,0.052600008
124,1970,0.041176576,0,0,0,1,0,0,0,0.032556135
124,1971,0.054458555,0,0,0,0,1,0,0,0.041176576
124,1972,0.06964203,0,0,0,0,1,0,0,0.054458555
124,1973,0.036909875,0,0,0,1,0,0,0,0.06964203
124,1974,0.01822973,0,0,1,0,0,0,0,0.036909875
124,1975,0.051993027,0,0,0,0,0,0,0,0.01822973
124,1976,0.034582306,0,0,0,1,0,0,0,0.051993027
124,1977,0.039535914,0,0,0,0,0,0,0,0.034582306
124,1978,0.038049228,0,0,0,0,1,0,0,0.039535914
124,1979,0.021626169,0,0,0,1,0,0,0,0.038049228
124,1980,0.035031196,0,0,0,0,1,0,0,0.021626169
124,1981,-0.032020248,0,0,1,0,0,0,0,0.035031196
124,1982,0.025985727,0,0,0,0,0,0,0,-0.032020248
124,1983,0.059253503,0,0,0,0,1,0,0,0.025985727
124,1984,0.047340825,0,0,0,1,0,0,0,0.059253503
124,1985,0.021618156,0,0,0,0,0,1,0,0.047340825
124,1986,0.040964648,0,0,0,0,0,0,0,0.021618156
124,1987,0.044294011,0,0,0,1,0,0,0,0.040964648
124,1988,0.023239739,0,0,0,0,1,0,0,0.044294011
124,1989,0.00154346,0,0,0,0,1,0,0,0.023239739
124,1990,-0.021256922,0,0,1,0,0,0,0,0.00154346
124,1991,0.00882976,0,0,0,0,1,0,0,-0.021256922
124,1992,0.026552357,0,0,0,1,0,0,0,0.00882976
124,1993,0.044934746,0,0,0,0,1,0,0,0.026552357
124,1994,0.026777083,0,0,0,0,0,0,0,0.044934746
124,1995,0.01611048,0,0,0,0,1,0,0,0.026777083
124,1996,0.042798124,0,0,0,0,0,1,0,0.01611048
124,1997,0.038817592,0,0,0,0,0,0,1,0.042798124
124,1998,0.05163211,0,0,0,1,0,0,0,0.038817592
124,1999,0.051826902,0,0,0,1,0,0,0,0.05163211
124,2000,0.01770819,0,0,0,0,1,0,0,0.051826902
124,2001,0.030100161,0,0,0,0,0,0,0,0.01770819
124,2002,0.018022733,0,0,0,0,0,0,0,0.030100161
124,2003,0.030859612,0,0,0,0,1,0,0,0.018022733
124,2004,0.032013822,0,0,0,0,0,0,0,0.030859612
124,2005,0.026234126,0,0,0,0,1,0,0,0.032013822
124,2006,0.020627476,0,0,0,0,1,0,0,0.026234126
124,2007,0.01000361,0,0,0,1,0,0,0,0.020627476
124,2008,-0.029495876,0,1,0,0,0,0,0,0.01000361
124,2009,0.030835142,0,0,0,0,0,0,1,-0.029495876
124,2010,0.031412188,0,0,0,0,0,0,0,0.030835142
124,2011,0.017454723,0,0,0,1,0,0,0,0.031412188
124,2012,0.024750018,0,0,0,0,1,0,0,0.017454723
124,2013,0.025652993,0,0,0,0,1,0,0,0.024750018
152,1930,-0.23848641,0,0,0,1,0,0,0,-0.17447606
152,1931,-0.16846035,0,1,0,0,0,0,0,-0.23848641
152,1932,0.20884216,0,0,0,0,0,1,0,-0.16846035
